ID_REF	Mann1_4hr	Mann1_12hr	Mann1_24hr	Mann2_4hr	Mann2_12hr	Mann2_24hr	Mann3_4hr	Mann3_12hr	Mann3_24hr	MGd1_4hr	MGd1_12hr	MGd1_24hr	MGd2_4hr	MGd2_12hr	MGd2_24hr	MGd3_4hr	MGd3_12hr	MGd3_24hr
1007_s_at	986.3	783.9	898.0	757.8	835.5	642.9	1248.0	1038.5	1084.9	778.0	904.2	750.4	1002.9	730.4	783.5	1031.5	836.1	958.4
1053_at	89.5	204.6	141.0	123.8	143.8	202.4	64.2	158.5	73.9	49.0	125.8	145.6	88.2	178.6	262.8	107.4	115.3	64.6
117_at	49.0	102.4	82.0	100.5	75.3	50.0	62.2	60.3	129.6	49.0	52.9	89.3	78.0	50.0	153.7	138.3	137.3	104.6
121_at	318.5	424.1	381.1	557.6	233.7	557.0	552.9	797.9	635.4	507.0	511.5	451.2	360.9	658.3	474.2	549.8	496.8	596.4
1255_g_at	62.5	50.0	50.0	50.0	50.0	50.0	66.2	128.0	50.0	57.6	76.2	50.0	111.2	50.0	50.0	94.4	50.0	55.0
1294_at	49.0	112.8	75.3	50.0	114.2	56.0	163.2	134.3	136.0	85.6	90.4	101.7	108.0	67.2	50.0	128.8	129.9	155.8
1316_at	127.8	130.0	86.7	84.3	153.0	93.3	179.7	151.2	146.3	84.9	116.5	80.7	108.8	90.3	138.2	186.9	131.9	115.7
1320_at	102.0	183.2	50.0	50.0	50.0	56.7	50.0	50.0	64.3	84.1	72.2	50.0	50.0	68.3	136.3	50.0	50.0	147.8
1405_i_at	49.0	50.0	50.0	50.0	50.0	50.0	50.0	50.0	50.0	49.0	50.0	50.0	50.0	50.0	50.0	50.0	54.7	50.0
1431_at	49.0	94.2	50.0	94.4	59.2	50.0	67.1	50.0	50.0	50.1	119.5	53.8	50.0	60.7	60.8	50.0	115.4	121.5
1438_at	49.0	50.0	50.0	60.6	50.0	167.4	50.0	68.8	50.0	60.1	68.9	130.3	82.7	125.5	85.8	162.1	143.8	72.7
1487_at	237.8	407.2	456.7	518.1	521.6	436.7	576.1	458.3	313.2	496.1	507.0	441.0	496.6	573.0	354.3	429.6	434.8	381.4
1494_f_at	119.2	107.8	98.1	127.4	120.5	137.6	195.4	192.9	193.1	49.0	141.9	112.8	94.8	170.8	176.0	144.8	194.0	151.9
1598_g_at	347.0	223.4	448.1	443.2	193.3	392.7	321.4	451.3	392.8	325.1	459.8	216.1	441.2	588.2	446.3	381.1	383.9	327.6
160020_at	200.1	295.5	190.4	438.0	117.6	180.6	213.3	381.6	281.1	162.2	309.3	248.6	327.0	241.2	277.3	497.0	278.7	202.8
1729_at	103.1	244.1	246.0	176.5	189.8	192.3	218.5	148.5	143.4	205.1	172.9	243.8	253.1	223.0	243.4	292.8	214.1	196.3
1773_at	179.0	53.2	72.9	203.2	74.6	155.1	50.0	240.2	168.9	104.8	86.2	136.1	68.6	124.1	86.1	88.0	177.6	164.0
177_at	146.3	108.9	119.9	147.4	174.2	50.0	172.7	102.1	72.9	136.6	146.4	114.9	61.8	154.9	157.9	121.2	106.6	171.5
179_at	372.5	161.6	418.4	480.0	181.6	274.4	414.6	651.3	396.8	626.5	610.7	611.1	313.1	360.5	440.4	260.0	437.3	467.9
