GeneID	285_D2	285_D5	285_D14	BM45_D2	BM45_D5	BM45_D14	DV10_D2	DV10_D5	DV10_D14	EC1118_D2	EC1118_D5	EC1118_D14	VIN13_D2	VIN13_D5	VIN13_D14	
SPAC1002.01	3.256315	6.964953	3.191585	14.584333	4.620984	1.875171	13.605400	10.053210	8.895813	9.875513	12.110473	8.291397	9.887597	9.246797	2.480213	
SPAC1002.02	5.174720	3.672984	0.579564	3.127956	2.482644	1.467900	1.163958	7.054087	5.772556	1.737568	4.392517	0.990760	3.057180	3.021285	1.301265	
SPAC1002.03c	1.613696	0.346478	0.813937	0.640164	2.430819	0.930523	0.457408	0.707514	3.134847	3.327536	0.627222	4.637083	2.488523	1.211670	0.739309	
SPAC1002.04c	1.398510	2.265330	1.477669	4.159967	4.003378	4.456373	0.868798	2.853317	4.778663	1.634492	2.796080	2.518360	2.454803	1.944869	1.770108	
SPAC1002.05c	0.680808	2.216190	5.978370	3.271152	1.703740	4.962960	0.686542	2.678817	6.229200	4.967600	3.403273	2.291447	0.569415	3.602053	2.277931	
SPAC1002.06c	5.787800	3.094786	6.087775	5.940107	6.742923	2.568910	2.344814	11.398577	7.993403	4.012288	7.400090	7.327843	7.990143	5.857733	5.600653	
SPAC1002.07c	4.270523	2.521561	3.286010	5.856030	2.858325	4.308500	3.935154	5.078666	2.379997	4.942773	3.463101	3.650572	2.776502	3.543947	6.165050	
SPAC1002.08c	0.592835	0.510538	0.585678	0.806911	0.669635	2.472283	3.775390	1.085639	1.158083	0.843298	1.310648	3.010943	0.738276	1.384250	0.974768	
SPAC1002.09c	7.054363	2.960156	2.742940	5.344540	6.233733	0.784616	2.480423	10.572973	8.255677	6.755327	4.748550	6.564093	5.113643	3.905078	4.077440	
SPAC1002.10c	2.005506	1.189650	2.899865	2.461836	1.728328	6.983005	0.680598	2.545509	2.155628	2.993897	1.309509	0.725798	1.882950	4.114236	4.501016	
SPAC1002.11	0.612340	0.354791	0.566605	1.928416	0.863525	2.272655	0.669662	3.018310	0.780761	3.906189	0.995103	3.104673	1.954675	1.123923	2.485971	
SPAC1002.12c	1.711657	2.523578	3.927625	2.287610	3.270293	5.628705	2.142719	2.415502	2.357570	3.612404	2.359920	4.122337	1.079612	1.367593	3.483192	
SPAC1002.13c	2.392643	3.045577	6.791310	6.699003	3.230967	5.916735	2.624127	2.465905	0.743499	2.286993	2.183412	6.417150	0.764274	1.915420	5.857970	
SPAC1002.14	1.819521	2.042995	4.935375	3.315677	2.956653	7.770680	3.526310	5.596013	5.124760	4.029980	3.016260	3.772814	1.844532	6.351163	3.494840	
SPAC1002.15c	4.060027	0.482229	0.615255	5.738910	2.051639	5.788455	0.183486	2.487960	1.599008	2.178348	1.852314	2.304130	3.373563	2.153503	5.633767	
SPAC1002.16c	4.633247	3.215683	3.041958	6.758279	1.784263	4.536445	3.539920	8.134297	4.202903	5.671500	4.936857	4.766237	9.089843	6.497373	5.283533	
