ID_REF	Mann1_4hr	Mann2_4hr	Mann3_4hr	Mann1_12hr	Mann2_12hr	Mann3_12hr	Mann1_24hr	Mann2_24hr	Mann3_24hr	MGd1_4hr	MGd2_4hr	MGd3_4hr	MGd1_12hr	MGd2_12hr	MGd3_12hr	MGd1_24hr	MGd2_24hr	MGd3_24hr
204639_at	177.8	221.6	274.4	227.6	157.5	197.2	313.9	195.1	285.2	245.6	311.9	303.3	219.2	133.0	356.0	189.7	121.4	206.4
203440_at	269.7	176.7	173.3	276.4	125.2	188.6	135.1	259.9	413.2	106.8	141.2	425.8	338.6	193.6	247.8	233.2	296.4	535.1
212607_at	782.0	313.1	691.3	545.1	591.1	548.3	628.6	370.8	657.4	610.6	437.4	511.1	589.3	442.8	532.0	536.8	434.5	336.5
210104_at	163.1	388.7	291.5	169.7	326.0	50.0	191.7	237.5	299.3	233.6	310.4	306.1	280.1	201.8	248.1	199.0	308.8	257.1
209028_s_at	106.1	50.0	95.8	274.9	200.1	200.9	134.6	106.3	169.3	153.8	61.6	123.1	143.9	50.0	50.0	113.2	50.0	67.8
202382_s_at	154.7	298.7	176.6	398.6	398.6	156.3	335.3	621.1	143.0	298.1	248.4	296.6	268.8	277.6	289.0	259.6	349.5	315.4
207616_s_at	675.7	420.7	721.1	771.8	591.7	608.8	553.5	931.9	647.6	698.9	512.6	661.9	628.0	441.8	674.5	450.5	595.4	478.8
78383_at	272.3	133.9	62.9	96.9	116.3	181.6	218.3	291.0	174.8	103.6	495.5	212.8	189.3	222.5	179.2	188.0	232.9	165.6
221847_at	339.7	330.8	421.0	291.6	449.5	511.1	429.3	469.0	442.7	468.4	287.6	252.0	423.9	382.0	293.1	547.6	501.6	456.0
206846_s_at	405.7	536.0	684.6	364.8	459.1	604.0	473.4	637.3	648.1	444.2	322.3	893.7	512.1	308.7	673.6	395.6	705.9	557.5
219442_at	49.0	50.0	50.0	111.8	89.2	220.1	143.2	172.9	50.0	243.3	278.4	160.0	163.5	322.1	50.0	206.0	222.5	243.4
209771_x_at	3718.6	2629.8	2642.2	4002.0	4412.4	2910.6	3367.3	3986.3	3036.9	3940.2	3891.9	2744.8	3319.1	4045.3	2034.8	3939.0	3381.2	2607.8
217746_s_at	1042.0	721.3	1081.9	774.5	975.1	977.7	1069.9	804.7	1006.2	1122.4	1144.2	905.1	947.0	1007.0	837.7	940.1	898.3	1084.1
203415_at	1228.0	818.2	985.7	811.4	969.3	1118.7	893.7	941.3	820.5	767.7	1024.1	780.3	763.9	924.0	1199.9	711.7	856.4	817.9
216051_x_at	149.2	89.9	58.3	187.2	50.0	303.9	73.3	103.3	50.0	49.0	213.7	196.9	50.0	66.3	153.7	50.0	168.8	168.9
203320_at	55.2	50.0	270.8	108.1	206.9	167.6	128.8	168.1	133.0	160.6	112.3	293.2	154.6	150.3	136.5	50.0	50.0	156.4
205042_at	502.4	290.9	167.6	370.1	321.8	295.2	320.0	409.5	377.5	299.9	214.1	282.4	398.2	304.4	285.0	250.3	409.5	352.7
219889_at	121.7	50.0	105.1	50.0	86.1	65.3	143.9	192.8	72.2	113.1	92.2	220.2	179.5	137.6	186.4	177.4	96.6	148.9
204649_at	108.0	254.8	50.0	163.6	110.5	170.0	138.0	50.0	236.0	101.5	95.2	261.9	50.0	200.7	132.2	192.1	159.3	286.1
221938_x_at	49.0	281.5	329.9	205.2	187.5	65.5	104.9	118.5	83.3	265.7	292.7	127.8	159.5	276.0	317.5	104.7	271.2	244.8
209707_at	184.7	50.0	99.1	187.7	196.3	206.0	180.1	50.0	196.5	134.2	50.0	177.9	139.1	171.3	171.1	189.4	66.0	52.1
216862_s_at	428.4	471.0	470.2	473.6	434.3	501.7	310.4	513.0	277.6	344.6	410.1	473.6	486.3	570.4	443.7	274.4	471.0	370.0
218118_s_at	339.3	215.1	331.1	296.6	611.5	305.9	455.5	243.7	335.5	402.2	497.6	426.3	418.6	277.1	160.0	546.8	431.1	339.4
215160_x_at	597.0	804.5	560.6	749.8	557.8	514.8	639.3	641.4	521.3	643.4	828.3	521.4	666.0	440.8	534.3	608.8	427.2	446.1
221876_at	76.0	50.0	184.4	256.7	124.9	50.0	134.6	226.9	175.1	74.9	179.2	372.3	145.2	160.0	139.7	229.5	230.1	281.7
221963_x_at	179.5	196.9	231.3	230.8	138.3	329.8	178.2	112.7	195.1	313.3	137.8	204.4	180.7	175.1	215.1	228.4	130.2	182.1
37796_at	139.4	155.4	128.1	50.0	90.2	124.7	176.1	56.2	141.0	102.9	53.9	190.7	190.2	108.8	202.6	122.1	50.0	106.0
214426_x_at	94.4	216.7	50.0	99.3	98.9	50.0	126.2	164.3	50.0	141.1	138.0	61.2	63.5	50.0	233.0	78.7	50.0	50.0
215773_x_at	365.9	225.4	538.5	260.6	331.1	676.5	306.1	482.5	311.3	410.0	487.6	376.3	461.4	493.8	471.2	301.3	363.4	333.3
209940_at	125.9	168.9	152.2	125.0	187.9	120.7	107.4	135.8	90.6	85.4	50.0	159.5	172.4	94.1	56.3	50.0	50.0	114.0
204485_s_at	745.9	588.3	669.2	513.4	785.6	427.0	742.3	527.5	380.7	681.0	557.9	403.5	584.9	453.2	389.1	746.1	559.3	623.8
212597_s_at	311.0	99.8	139.5	110.4	259.3	194.7	216.8	50.0	152.8	188.6	116.1	150.4	114.1	162.4	277.0	193.2	233.0	228.6
205088_at	92.2	50.0	66.4	124.4	55.3	137.5	95.9	175.7	142.9	116.6	50.0	50.0	142.1	50.0	50.0	58.2	224.3	114.0
202582_s_at	295.6	224.1	217.4	148.3	215.3	374.8	194.2	192.5	386.0	207.7	288.6	388.8	264.4	143.5	287.7	219.5	206.2	287.4
209015_s_at	132.6	247.6	135.7	329.9	129.3	128.6	146.5	244.7	240.8	211.4	174.9	208.1	80.9	125.3	187.6	98.0	91.2	219.2
215009_s_at	330.0	54.1	129.9	130.3	204.9	211.5	227.9	63.8	144.0	172.7	190.4	205.9	128.5	77.0	50.0	222.6	316.1	55.2
207051_at	101.5	50.0	67.3	50.0	85.4	50.0	50.0	363.2	50.0	97.0	147.6	186.2	180.4	171.0	50.1	50.0	50.0	147.7
215504_x_at	296.5	229.2	68.2	71.8	235.0	193.8	138.2	282.1	185.8	339.5	189.4	319.9	217.6	253.6	173.7	50.0	334.3	309.0
207963_at	114.3	148.5	50.0	101.8	146.1	141.7	50.0	238.6	167.4	80.5	50.0	165.5	85.0	50.0	204.8	50.0	71.5	168.9
222280_at	494.0	409.1	410.6	345.0	319.2	418.5	356.5	511.7	356.1	692.4	486.4	381.2	555.9	283.0	302.7	478.5	522.1	710.0
217499_x_at	264.3	305.0	423.8	268.7	265.7	364.7	289.2	289.4	469.8	436.1	359.8	253.9	303.9	478.0	509.4	417.9	347.8	343.6
205904_at	86.5	187.3	50.0	110.0	50.0	165.4	211.6	221.3	124.2	87.5	81.0	148.6	154.7	160.6	99.3	54.8	50.0	50.0
201664_at	476.4	423.4	380.1	435.6	486.6	269.0	424.5	242.9	498.0	303.3	304.8	399.0	295.1	288.4	541.0	348.7	362.1	479.7
218261_at	49.0	192.0	50.0	50.0	146.8	168.5	78.1	238.6	50.0	49.0	50.0	204.8	110.6	84.5	53.8	80.1	162.9	233.6
201177_s_at	899.8	363.1	492.2	486.1	503.1	596.9	835.0	357.3	816.0	1225.7	496.1	722.6	676.9	443.0	568.4	847.4	616.5	507.0
217946_s_at	694.9	652.2	665.8	593.0	956.2	686.2	889.8	704.5	1001.8	923.5	979.9	794.8	788.6	941.4	1422.1	792.1	729.7	1159.7
209380_s_at	90.0	286.9	199.8	151.1	91.8	50.0	182.9	294.8	50.3	186.0	50.0	134.7	168.9	241.6	226.0	75.9	57.2	175.2
203192_at	317.5	342.2	211.5	367.9	312.4	195.0	325.9	335.7	393.3	261.7	303.6	279.9	214.8	376.4	368.3	257.7	212.8	297.6
203105_s_at	317.5	234.8	293.3	238.4	348.9	248.6	230.8	300.1	256.0	289.6	188.5	337.8	349.8	390.4	286.1	340.2	323.2	261.9
209247_s_at	471.1	494.1	688.8	390.9	324.4	533.3	412.4	198.6	498.3	368.9	598.6	461.7	562.3	429.1	587.8	450.0	466.6	593.1
203920_at	529.1	379.5	393.8	367.6	437.1	518.4	467.6	523.2	287.4	359.5	346.4	591.4	518.4	561.5	443.0	510.7	441.5	555.7
203880_at	688.3	786.3	1095.9	571.0	907.3	848.7	740.1	1025.7	598.5	1017.7	835.9	631.1	804.4	1024.3	1025.9	800.0	1031.5	1126.0
218143_s_at	557.2	455.1	642.8	455.1	504.1	436.0	461.9	472.5	412.8	435.6	545.1	655.6	551.4	507.4	659.8	546.9	558.6	448.9
201771_at	442.3	633.4	735.1	553.9	660.5	565.0	747.9	592.8	563.5	590.7	605.2	434.9	720.1	570.2	681.8	636.3	549.8	486.9
218377_s_at	191.6	254.8	288.4	91.2	223.0	549.7	221.0	187.7	269.0	263.8	275.7	359.7	368.7	440.8	387.7	277.5	328.8	308.1
218567_x_at	482.5	885.7	332.0	410.4	585.2	456.9	563.4	798.6	499.5	439.2	481.5	625.3	427.6	628.6	619.1	434.3	698.4	365.3
207438_s_at	163.1	224.1	239.7	220.9	321.4	330.0	259.9	298.6	266.2	195.7	127.2	244.7	348.4	548.3	101.6	287.0	297.1	261.2
207783_x_at	26085.1	28453.7	25477.3	30864.4	31432.0	32157.3	24297.4	29835.6	27020.6	23718.6	30776.5	25750.2	24807.3	29808.0	22084.8	22995.0	27902.6	25825.2
220558_x_at	49.0	51.8	66.8	147.7	73.3	182.6	56.9	147.8	210.1	118.3	138.7	195.8	114.0	251.3	212.3	243.8	155.9	238.1
218612_s_at	164.3	248.9	93.4	145.7	252.3	253.5	133.7	96.6	249.3	172.4	154.0	181.3	282.3	195.0	155.0	179.6	271.2	196.8
212062_at	350.6	411.5	449.1	321.9	576.2	391.2	582.4	488.3	313.2	378.7	499.4	223.3	453.1	298.9	456.0	444.4	674.1	429.1
220115_s_at	93.8	295.8	116.4	119.1	202.5	135.2	81.0	175.2	184.0	66.0	130.4	183.3	78.5	156.5	92.4	198.3	153.3	160.1
211184_s_at	319.0	452.6	249.9	304.6	401.5	249.5	387.8	496.5	222.7	252.7	435.4	92.6	313.9	358.5	296.3	291.4	488.8	125.4
214527_s_at	394.1	582.0	614.0	410.6	492.7	392.5	387.8	414.3	503.0	314.5	381.3	642.6	500.8	590.6	763.0	420.1	468.7	545.9
211963_s_at	1010.7	952.3	1232.2	724.7	760.9	967.9	1151.2	744.4	866.1	1250.3	1149.5	707.9	1085.8	938.4	726.3	1014.9	1024.9	1003.8
217817_at	580.7	778.5	844.8	505.8	709.5	807.8	833.2	1078.4	442.1	716.0	702.6	698.4	499.5	849.5	541.8	592.9	685.6	507.0
208736_at	1347.0	1295.0	1913.3	1528.8	1694.3	1454.2	1891.6	893.2	1807.1	1458.7	1396.2	1775.1	1543.2	902.5	1541.9	1509.0	1412.7	1334.8
201954_at	1596.0	998.0	1480.1	1698.5	1790.4	1074.3	1342.5	1343.6	1011.2	1259.9	1692.6	1105.0	1552.4	1175.4	1229.2	1161.3	1076.8	904.6
200996_at	823.1	462.0	443.0	618.6	885.7	373.7	1001.4	329.1	834.4	981.7	795.3	430.4	774.9	676.2	368.3	803.2	691.4	750.9
200728_at	1158.7	1105.7	995.9	1324.0	1355.5	1207.8	1460.2	949.4	1098.2	1011.1	1257.7	1015.3	1508.6	1327.5	1085.0	1116.6	866.0	841.6
200972_at	3172.6	1960.6	2541.6	3388.7	3198.1	2388.0	2527.7	2353.3	2882.0	2999.8	2446.7	2625.3	2948.6	2798.3	2318.0	2994.1	2561.3	2312.6
220375_s_at	215.0	327.7	239.9	241.4	50.0	342.5	177.7	275.7	317.9	276.1	229.9	160.0	121.7	288.6	231.9	121.1	230.5	236.1
218227_at	246.3	410.0	333.1	251.6	387.1	427.8	278.6	412.5	425.9	252.6	214.1	369.6	292.6	370.7	280.7	316.9	344.7	477.7
212656_at	347.7	153.9	364.5	299.1	173.2	217.5	205.0	172.7	360.3	236.5	247.5	285.1	370.4	237.5	223.3	234.1	223.6	462.0
209114_at	98.6	51.1	50.0	164.9	141.3	126.8	50.0	50.0	134.9	109.6	282.5	50.0	151.0	184.6	50.0	124.6	50.0	149.4
201489_at	189.4	170.5	336.4	263.5	439.5	177.1	326.7	257.1	405.2	287.6	346.2	174.5	337.3	358.8	442.7	224.2	214.2	542.1
203445_s_at	759.5	1063.1	1266.9	1011.5	872.4	1074.8	925.1	1017.3	1341.6	959.8	1024.7	982.6	1040.4	1270.5	1644.0	1014.7	1018.4	1329.6
210579_s_at	106.4	50.0	181.7	50.0	60.5	196.0	76.7	63.3	50.0	52.5	50.0	276.7	67.8	111.0	98.2	50.0	140.8	169.5
207988_s_at	864.9	683.4	966.9	834.7	1092.9	1221.2	789.7	1170.9	1102.3	743.9	1188.1	877.7	662.6	1004.5	1396.4	959.8	696.6	1090.0
220357_s_at	120.0	54.7	213.3	116.5	182.3	188.1	138.3	303.7	152.0	280.1	274.0	209.2	207.3	280.8	115.2	85.5	84.7	112.4
209349_at	242.0	365.6	227.0	251.6	223.7	101.5	194.7	51.9	50.0	141.8	189.2	136.0	105.3	191.4	319.0	257.9	149.5	120.7
217861_s_at	320.5	590.3	709.2	511.4	376.9	413.0	500.8	349.7	429.3	348.4	506.4	544.8	302.0	600.9	651.7	426.5	495.7	569.1
200721_s_at	384.6	438.9	427.1	381.3	404.4	277.0	371.9	403.9	457.2	280.3	319.3	335.5	245.6	572.0	326.5	260.2	475.9	445.0
202206_at	640.1	525.9	962.2	528.9	638.3	872.5	610.9	546.3	753.3	695.3	841.5	607.4	572.8	774.6	814.8	646.5	672.0	1039.9
205020_s_at	367.6	217.1	227.4	272.8	403.8	230.4	396.8	282.8	343.7	211.1	579.0	222.6	310.1	445.8	383.4	258.5	380.8	378.1
203707_at	292.8	458.2	480.3	309.9	343.4	309.3	326.1	429.6	455.9	362.4	256.3	390.0	334.4	499.7	397.0	413.6	460.9	478.7
211971_s_at	1670.4	1199.6	1803.7	1743.4	1521.0	1901.7	1731.2	934.1	1841.8	1642.2	1272.6	1731.3	1757.6	1254.6	1617.2	1722.0	1444.6	1603.6
207668_x_at	2420.2	2496.0	2590.7	2495.7	1980.1	1949.2	2222.1	2062.3	3021.6	2811.4	2084.1	2277.6	2988.2	1907.6	2309.7	2295.4	2459.0	2247.9
201391_at	764.6	866.8	757.3	910.5	716.2	656.7	884.8	830.4	560.0	834.4	610.8	740.1	760.2	1003.6	1225.8	794.9	1103.7	679.6
202073_at	104.5	129.2	116.0	223.2	50.0	151.2	160.4	146.5	81.6	237.4	243.1	115.8	208.5	79.4	294.9	145.8	154.1	124.6
200837_at	1504.5	1761.5	1721.2	1669.6	2499.0	1476.2	1563.7	1624.9	1385.6	1320.9	1693.0	1761.0	1550.8	1965.5	2460.2	1614.9	1594.7	1715.8
217738_at	530.4	283.5	761.8	512.8	477.9	663.8	543.5	228.4	885.6	499.3	459.3	774.5	451.4	403.2	481.7	510.0	294.0	876.5
